iter	Passed	Remaining
0	0	61
1	1	60
2	1	61
3	2	55
4	2	56
5	3	56
6	4	56
7	4	55
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	49
16	10	49
17	10	48
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	47
28	19	46
29	19	46
30	20	45
31	20	44
32	25	51
33	26	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	29	43
41	30	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	54	12
82	55	11
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	64	4
93	65	4
94	69	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
